time,pos_x,pos_y,pos_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.352301889373832264e-02,7.059621023883839649e-03,9.795566493088108118e+00,6.405798677696346397e-04,4.797690642890119466e-04,-1.487206253742327311e-03
5.000000000000000104e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.676190263407031228e-02,5.532274340000520145e-03,9.815180802899885038e+00,8.426012278691689603e-04,-6.696961979352168345e-04,-1.610069939268720903e-04
1.000000000000000021e-02,2.243003785210580671e-16,1.682252838907936366e-16,2.000000000000099476e+00,1.478499867644387199e-02,1.375221488452503180e-02,9.812472790645477616e+00,-6.131228752520383966e-04,-1.806339843047217661e-03,-5.941671787448590206e-04
1.499999999999999944e-02,7.785596864377745640e-15,5.839197648283311202e-15,2.000000000001085798e+00,1.024413151263440895e-02,-1.671286982003164241e-03,9.827980848988469020e+00,3.155395222002221802e-04,-4.313092489880860085e-04,-1.618851838405292926e-04
2.000000000000000042e-02,7.591332542795460766e-14,5.693499407203964908e-14,2.000000000005498713e+00,3.311546989231992175e-03,-7.470649520519043879e-03,9.826070448839965721e+00,9.776730088625097681e-04,-9.841382448913659365e-04,9.917386123287899244e-04
2.500000000000000139e-02,4.203591307652948211e-13,3.152693481915219173e-13,2.000000000018758328e+00,1.713960343943694148e-02,1.573305531736777108e-03,9.812366355259820594e+00,2.232675175623629509e-04,-1.984113015551948857e-05,2.123863472606959566e-04
3.000000000000000236e-02,1.660201409051920782e-12,1.245151057673005719e-12,2.000000000050260240e+00,-2.007195441000391919e-02,1.438469517401511945e-02,9.792021386678641193e+00,-2.202509326133475108e-04,1.458346754068383811e-03,-6.001248714636988951e-04
3.500000000000000333e-02,5.226324873512767908e-12,3.919743658456618089e-12,2.000000000114432019e+00,-2.022330864530585710e-03,1.836653718696782886e-02,9.813062237371690699e+00,-6.254809538720269195e-04,5.047808738372054236e-04,1.061028004526544822e-03
4.000000000000000083e-02,1.397613999353799342e-11,1.048210500401770590e-11,2.000000000231752839e+00,2.451458850928663058e-02,-2.437169261302808698e-02,9.810050968728932119e+00,5.151893952103522812e-04,1.367082022867737584e-03,3.872695622760809826e-04
4.499999999999999833e-02,3.304792141558868434e-11,2.478594108105927521e-11,2.000000000429737135e+00,-1.684625189393488404e-02,6.415229833677611043e-03,9.808188781044957949e+00,-7.970800932421066680e-04,2.275147606469977849e-04,2.810310387888389485e-04
4.999999999999999584e-02,7.098255616604345294e-11,5.323691716153675351e-11,2.000000000743877404e+00,-2.309091505777128434e-02,-2.819128901477435667e-02,9.810264880228896089e+00,2.005532604211715357e-03,-6.931727874217014475e-04,-6.256616807479055409e-04
5.499999999999999334e-02,1.411345796223027042e-10,1.058509347806904363e-10,2.000000001218550594e+00,-1.881868459526139098e-02,-3.985368013048194019e-02,9.837509845250879792e+00,4.803719266864213910e-04,-6.948385144753742261e-04,8.603278851550675470e-04
5.999999999999999084e-02,2.633882228231461189e-10,1.975411672198731940e-10,2.000000001907885849e+00,1.369322921898512117e-02,-1.003161056491058602e-03,9.818515842058184617e+00,-1.008862495946373770e-05,2.850934895147036637e-04,-7.335667138374944891e-04
